instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
Falkenauer_u0120_00.txt,48,48,0,Solved,48,46,False,21.8523,False
Falkenauer_u0120_01.txt,49,49,0,Solved,49,49,True,0.352,False
Falkenauer_u0120_02.txt,46,46,0,Solved,46,46,True,0.4098,False
Falkenauer_u0120_03.txt,49,49,0,Solved,49,49,True,0.2996,False
Falkenauer_u0120_04.txt,50,50,0,Solved,50,50,True,0.2983,False
Falkenauer_u0120_05.txt,48,48,0,Solved,48,48,True,0.3056,False
Falkenauer_u0120_06.txt,48,48,0,Solved,48,48,True,38.975,False
Falkenauer_u0120_07.txt,49,49,0,Solved,49,49,True,0.3996,False
Falkenauer_u0120_10.txt,52,52,0,Solved,52,52,True,0.3213,False
Falkenauer_u0120_11.txt,49,49,0,Solved,49,49,True,0.3064,False
Falkenauer_u0120_12.txt,48,48,0,Solved,48,48,True,0.313,False
Falkenauer_u0120_13.txt,49,49,0,Solved,49,49,True,0.2983,False
Falkenauer_u0120_14.txt,50,50,0,Solved,50,50,True,0.3017,False
Falkenauer_u0120_15.txt,48,48,0,Solved,48,48,True,0.306,False
Falkenauer_u0120_16.txt,52,52,0,Solved,52,52,True,0.3118,False
Falkenauer_u0120_17.txt,52,52,0,Solved,52,52,True,0.3179,False
Falkenauer_u0120_18.txt,49,49,0,Solved,49,49,True,0.309,False
Falkenauer_u0120_19.txt,49,49,0,Solved,49,,,120.1672,True
Falkenauer_u0250_00.txt,99,99,0,Solved,99,,,120.6412,True
Falkenauer_u0250_01.txt,100,100,0,Solved,100,100,True,108.3415,False
Falkenauer_u0250_02.txt,102,102,0,Solved,102,102,True,1.2189,False
Falkenauer_u0250_03.txt,100,100,0,Solved,100,100,True,1.6848,False
Falkenauer_u0250_04.txt,101,101,0,Solved,101,101,True,7.0777,False
Falkenauer_u0250_05.txt,101,101,0,Solved,101,,,120.635,True
Falkenauer_u0250_06.txt,102,102,0,Solved,102,102,True,1.1591,False
Falkenauer_u0250_07.txt,103,103,0,Solved,103,,,120.6287,True
Falkenauer_u0250_10.txt,105,105,0,Solved,105,,,120.6332,True
